Orthogroup	Sanguina_aurantia-Ranunculales-Chlamydomonadaceae-Sanguina-1.prot	Sanguina_aurantia-Ranunculales-Chlamydomonadaceae-Sanguina-2.prot
OG0000000	MEW5309097.1, MEW5309291.1, MEW5310341.1, MEW5310888.1, MEW5313169.1, MEW5314126.1, MEW5314127.1, MEW5314128.1, MEW5314129.1, MEW5314130.1, MEW5314479.1, MEW5316403.1, MEW5316404.1, MEW5316757.1, MEW5316969.1, MEW5317441.1, MEW5317896.1, MEW5318134.1, MEW5318475.1, MEW5318476.1, MEW5318477.1, MEW5318902.1, MEW5319223.1, MEW5319495.1, MEW5319548.1	MEW5303557.1, MEW5303668.1, MEW5304947.1, MEW5305312.1, MEW5305313.1, MEW5306205.1, MEW5306731.1, MEW5306921.1
OG0000001	MEW5308545.1, MEW5308550.1, MEW5308588.1, MEW5312458.1, MEW5312478.1, MEW5312490.1, MEW5312771.1, MEW5312780.1, MEW5312963.1, MEW5312975.1, MEW5313730.1, MEW5313738.1, MEW5313752.1	MEW5298723.1, MEW5298760.1, MEW5298764.1, MEW5299374.1, MEW5299409.1, MEW5299422.1, MEW5299573.1, MEW5299579.1, MEW5300778.1, MEW5300785.1, MEW5300800.1, MEW5300805.1, MEW5301697.1, MEW5302766.1, MEW5302775.1, MEW5302799.1, MEW5306811.1, MEW5306841.1, MEW5306845.1
OG0000002	MEW5308546.1, MEW5308587.1, MEW5312457.1, MEW5312479.1, MEW5312489.1, MEW5312772.1, MEW5312779.1, MEW5312964.1, MEW5312976.1, MEW5313731.1, MEW5313739.1, MEW5313753.1	MEW5298724.1, MEW5298765.1, MEW5299375.1, MEW5299408.1, MEW5299421.1, MEW5299574.1, MEW5299578.1, MEW5300779.1, MEW5300784.1, MEW5300799.1, MEW5300804.1, MEW5301698.1, MEW5302767.1, MEW5302774.1, MEW5302800.1, MEW5305303.1, MEW5306810.1, MEW5306840.1, MEW5306846.1
OG0000003	MEW5313870.1, MEW5313871.1, MEW5313872.1, MEW5313873.1, MEW5313874.1, MEW5313875.1, MEW5313876.1, MEW5313877.1, MEW5313878.1, MEW5313879.1, MEW5313880.1, MEW5313881.1, MEW5313882.1, MEW5313883.1, MEW5313884.1, MEW5313885.1, MEW5313886.1, MEW5313887.1, MEW5313888.1, MEW5313889.1, MEW5313890.1, MEW5313891.1, MEW5313892.1, MEW5313893.1, MEW5313894.1, MEW5313895.1, MEW5313896.1, MEW5313898.1, MEW5313899.1	MEW5306093.1
OG0000004	MEW5311525.1, MEW5311526.1, MEW5311527.1, MEW5311528.1, MEW5311529.1, MEW5311531.1, MEW5311532.1, MEW5311533.1, MEW5311535.1, MEW5311536.1, MEW5311538.1, MEW5311540.1, MEW5311541.1, MEW5311543.1, MEW5311544.1, MEW5311545.1, MEW5311546.1, MEW5311547.1, MEW5311548.1, MEW5311549.1, MEW5311551.1, MEW5311552.1, MEW5311553.1, MEW5311721.1	
OG0000005	MEW5308544.1, MEW5308547.1, MEW5308586.1, MEW5312957.1, MEW5313750.1, MEW5313758.1, MEW5315368.1, MEW5315380.1	MEW5297627.1, MEW5297638.1, MEW5298763.1, MEW5298766.1, MEW5299407.1, MEW5299427.1, MEW5300776.1, MEW5300787.1, MEW5305602.1, MEW5306812.1, MEW5306816.1, MEW5306835.1, MEW5306839.1, MEW5306842.1
OG0000006	MEW5308543.1, MEW5308548.1, MEW5308585.1, MEW5312956.1, MEW5313751.1, MEW5313757.1, MEW5315369.1, MEW5315379.1	MEW5297628.1, MEW5297637.1, MEW5298762.1, MEW5298767.1, MEW5299406.1, MEW5299428.1, MEW5300777.1, MEW5300786.1, MEW5306813.1, MEW5306815.1, MEW5306834.1, MEW5306838.1, MEW5306843.1
OG0000007	MEW5316323.1, MEW5316324.1, MEW5316325.1, MEW5316326.1, MEW5316327.1, MEW5316328.1, MEW5316329.1, MEW5316330.1, MEW5316331.1, MEW5316332.1, MEW5316333.1, MEW5316334.1, MEW5316335.1, MEW5316336.1, MEW5316337.1, MEW5316338.1, MEW5316339.1, MEW5316340.1, MEW5316341.1	
OG0000008	MEW5308226.1, MEW5308231.1, MEW5308667.1, MEW5308672.1, MEW5308673.1, MEW5308674.1, MEW5308675.1, MEW5308676.1, MEW5308677.1, MEW5308681.1, MEW5308682.1, MEW5309268.1, MEW5309271.1, MEW5309272.1, MEW5309273.1, MEW5309276.1	MEW5297467.1
